Time,Sine Wave,Current (A)
0.1695,1.8747888843334528,2.069127248399908e+25
0.17,1.8763066800438637,2.1935114406876383e+25
0.1705,1.8778158269611216,2.324599507900682e+25
0.171,1.879316310190556,2.4627008716358894e+25
0.1715,1.880808114923004,2.60813594294783e+25
0.172,1.8822912264349527,2.761236311901166e+25
0.1725,1.8837656300886931,2.9223449274997604e+25
0.173,1.885231311332455,3.091816266974326e+25
0.1735,1.8866882557005564,3.2700164933829815e+25
0.174,1.8881364488135444,3.457323600438743e+25
0.1745,1.889575876378338,3.6541275434496403e+25
0.175,1.891006524188368,3.860830355223195e+25
0.1755,1.892428378123718,4.077846245760491e+25
0.176,1.893841424151264,4.30560168453487e+25
0.1765,1.8952456483248117,4.544535464125905e+25
0.177,1.8966410367852355,4.795098743956415e+25
0.1775,1.8980275757606155,5.057755072858604e+25
0.178,1.8994052515663709,5.332980389177696e+25
0.1785,1.9007740506053976,5.621262997107004e+25
0.179,1.9021339593682027,5.9231035179356435e+25
0.1795,1.9034849644330347,6.2390148148804094e+25
0.18,1.90482705246602,6.5695218901729e+25
0.1805,1.9061602102212896,6.915161753064859e+25
0.181,1.9074844245411169,7.276483257426305e+25
0.1815,1.90879968235604,7.654046907608521e+25
0.182,1.910105970684996,8.04842463126659e+25
0.1825,1.9114032766354447,8.460199517842607e+25
0.183,1.9126915874035024,8.889965521443134e+25
0.1835,1.913970890274061,9.338327126857284e+25
0.184,1.9152411726209173,9.805898977509706e+25
0.1845,1.9165024219068976,1.0293305464169734e+26
0.185,1.917754625683981,1.080118027328327e+26
0.1855,1.9189977715934208,1.1330165893846503e+26
0.186,1.9202318473658704,1.1880913081796051e+26
0.1865,1.9214568408214985,1.2454080280941759e+26
0.187,1.9226727398701149,1.3050332999556549e+26
0.1875,1.9238795325112863,1.3670343141786923e+26
0.188,1.925077206834458,1.4314788293151727e+26
0.1885,1.9262657510190664,1.4984350959461186e+26
0.189,1.9274451533346613,1.5679717758609033e+26
0.1895,1.928615402141017,1.6401578564759273e+26
0.19,1.9297764858882516,1.715062560458529e+26
0.1905,1.930928393116936,1.792755250530853e+26
0.191,1.9320711124582108,1.8733053294421768e+26
0.1915,1.9332046326338983,1.9567821351095927e+26
0.192,1.934328942456612,2.0432548309402224e+26
0.1925,1.9354440308298675,2.1327922913628295e+26
0.193,1.9365498867481925,2.2254629826101004e+26
0.1935,1.9376464992972355,2.3213348388082906e+26
0.194,1.9387338576538744,2.420475133445942e+26
0.1945,1.93981195108632,2.5229503463097855e+26
0.195,1.9408807689542256,2.6288260259926643e+26
0.1955,1.9419403007087903,2.738166648093935e+26
0.196,1.9429905358928643,2.851035469251142e+26
0.1965,1.9440314641410497,2.967494377158921e+26
0.197,1.9450630751798048,3.0876037367495268e+26
0.1975,1.9460853588275453,3.2114222327263405e+26
0.198,1.9470983049947443,3.339006708661182e+26
0.1985,1.948101903684032,3.470412002884131e+26
0.199,1.9490961449902948,3.605690781413749e+26
0.1995,1.950081019100772,3.744893368192475e+26
0.2,1.9510565162951536,3.88806757291384e+26
0.2005,1.9520226269456769,4.0352585167421646e+26
0.201,1.952979341517219,4.186508456247749e+26
0.2015,1.9539266505673936,4.341856605895507e+26
0.202,1.954864544746643,4.5013389594450485e+26
0.2025,1.9557930147983305,4.664988110635082e+26
0.203,1.9567120515588303,4.832833073543924e+26
0.2035,1.9576216459576223,5.0048991030332275e+26
0.204,1.958521789017376,5.181207515696146e+26
0.2045,1.9594124718540429,5.361775511749896e+26
0.205,1.9602936856769435,5.546615998321828e+26
0.2055,1.961165421788852,5.7357374145946354e+26
0.206,1.962027671586086,5.929143559288724e+26
0.2065,1.962880426558588,6.12683342096681e+26
0.207,1.9637236782900096,6.328801011661731e+26
0.2075,1.9645574184577983,6.535035204333771e+26
0.208,1.965381638833274,6.745519574668473e+26
0.2085,1.966196331281715,6.960232247741906e+26
0.209,1.967001487762435,7.17914575007214e+26
0.2095,1.9677971003288657,7.402226867590036e+26
0.21,1.968583161128631,7.629436510057628e+26
0.2105,1.9693596624036291,7.860729582466223e+26
0.211,1.9701265964901056,8.09605486394016e+26
0.2115,1.970883955818731,8.335354894676577e+26
0.212,1.9716317329146744,8.578565871437509e+26
0.2125,1.9723699203976768,8.825617552110878e+26
0.213,1.9730985109821264,9.076433169845062e+26
0.2135,1.9738174974771288,9.33092935725238e+26
0.214,1.9745268727865768,9.589016081161336e+26
0.2145,1.975226629909224,9.850596588390441e+26
0.215,1.9759167619387477,1.0115567362989263e+27
0.2155,1.9765972620638248,1.0383818095389707e+27
0.216,1.9772681235681933,1.0655231663869485e+27
0.2165,1.9779293398307216,1.092968412873134e+27
0.217,1.9785809043254723,1.1207044739557993e+27
0.2175,1.9792228106217655,1.1487175955888921e+27
0.218,1.9798550523842469,1.1769933481636467e+27
0.2185,1.9804776233729444,1.2055166313520758e+27
0.219,1.981090517443334,1.2342716803786431e+27
0.2195,1.981693728546399,1.2632420737418893e+27
0.22,1.9822872507286888,1.2924107424050682e+27
0.2205,1.982871078132379,1.3217599804712135e+27
0.221,1.9834452049953295,1.3512714573543495e+27
0.2215,1.98400962565114,1.3809262314543027e+27
0.222,1.9845643345292052,1.41070476533951e+27
0.2225,1.9851093261547736,1.4405869424375664e+27
0.223,1.9856445951489976,1.4705520852290997e+27
0.2235,1.986170136228989,1.5005789749365784e+27
