Voltage (V),Current (A)
-0.04999999999999827,-1e-06
-0.03999999999999826,-1e-06
-0.02999999999999825,-1e-06
-0.01999999999999824,-1e-06
-0.009999999999998233,-1e-06
1.7763568394002505e-15,6.838973831690964e-20
0.010000000000001563,4.69049193849105e-07
0.020000000000001794,1.1581055339485941e-06
0.030000000000002025,2.170363194888312e-06
0.04000000000000181,3.65741949565923e-06
0.0500000000000016,5.841978355514829e-06
0.06000000000000183,9.051202787501569e-06
0.07000000000000206,1.37657113521923e-05
0.08000000000000185,2.0691556358545194e-05
0.09000000000000163,3.0865963381851076e-05
0.10000000000000187,4.5812667817331024e-05
0.1100000000000021,6.777011191897254e-05
0.12000000000000188,0.0001000266774754724
0.13000000000000167,0.0001474131591025862
0.1400000000000019,0.00021702623173624195
0.15000000000000213,0.00031929125997006807
0.16000000000000192,0.00046952361725591035
0.1700000000000017,0.0006902223406167126
0.18000000000000194,0.0010144396222534213
0.19000000000000217,0.001490730758473751
0.20000000000000195,0.0021904258681756297
0.21000000000000174,0.0032183124050232624
0.22000000000000197,0.004728328293347606
0.2300000000000022,0.006946615916789711
0.240000000000002,0.010205389561732435
0.2500000000000018,0.014992688357771927
0.260000000000002,0.02202546579480844
0.27000000000000224,0.03235696181920652
0.280000000000002,0.04753443772510228
0.2900000000000018,0.06983089646932103
0.30000000000000204,0.10258549121320501
0.3100000000000023,0.15070360221655915
0.32000000000000206,0.2213914743955715
0.33000000000000185,0.32523543603505056
0.3400000000000021,0.47778732416762193
0.3500000000000023,0.7018935524489242
0.3600000000000021,1.0311166264420997
0.3700000000000019,1.5147615178882678
0.3800000000000021,2.2252596557764828
0.39000000000000234,3.269016372472407
0.40000000000000213,4.802346335708978
0.4100000000000019,7.054883482106188
0.42000000000000215,10.363971361136148
0.4300000000000024,15.225184242200687
0.44000000000000217,22.366545106256673
0.45000000000000195,32.857555526582956
0.4600000000000022,48.269365927225635
0.4700000000000024,70.9100735720436
0.4800000000000022,104.17038688583378
0.490000000000002,153.0314233466222
0.5000000000000022,224.81068956997422
0.5100000000000025,330.2579627504632
0.5200000000000022,485.1651944098316
0.530000000000002,712.7315382004102
0.5400000000000023,1047.0376920931376
0.5500000000000025,1538.149877968022
0.5600000000000023,2259.617838716916
0.5700000000000021,3319.4897648429755
0.5800000000000023,4876.493763501712
0.5900000000000025,7163.809232551062
0.6000000000000023,10523.98817843624
0.6100000000000021,15460.256350077258
